unique.cellid,CGP.cellid,CCLE.cellid,GSK.cellid,GRAY.cellid,GNE.cellid,CTRP.cellid,CGP_EMTAB3610.cellid,CCLE_rnaseq.cellid,GDSC.SNP.cellid,Ben_Neel.cellid,CTRPv2.cellid,gCSI.cellid,GDSC1000.cellid,CGP.tissueid,CCLE.tissueid,GSK.tissueid,GRAY.tissueid,GNE.tissueid,CTRP.tissueid,CGP_EMTAB3610.tissueid,CCLE_rnaseq.tissueid,GDSC.SNP.tissueid,Ben_Neel.tissueid,COSMIC.tissueid,unique.tissueid,CTRPv2.tissueid,gCSI.tissueid,GDSC1000.tissueid
105KC,NA,NA,NA,NA,105KC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cartilage,NA,NA,NA,NA,NA,NA,cartilage,NA,NA,NA
1321N1,NA,1321N1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1321N1,NA,NA,central_nervous_system,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,Brain,NA
143B,NA,143B,NA,NA,143B,NA,NA,NA,NA,NA,NA,NA,NA,NA,bone,NA,NA,Bone,NA,NA,NA,NA,NA,bone,bone,NA,NA,NA
184A1,NA,NA,NA,184A1,NA,NA,NA,NA,NA,184a1,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,breast,NA,breast,NA,NA,NA
184B5,NA,NA,NA,184B5,NA,NA,NA,NA,NA,184b5,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,breast,NA,breast,NA,NA,NA
2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201T,NA,NA,NA,NA,NA,NA,201T,NA,201T,NA,NA,NA,201T,NA,NA,NA,NA,NA,NA,Lung:NSCLC,NA,NA,NA,lung,lung,NA,NA,lung
21MT1,NA,NA,NA,21MT1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA
21MT2,NA,NA,NA,21MT2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA
21NT,NA,NA,NA,21NT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA
21PT,NA,NA,NA,21PT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA
22RV1,22RV1,22Rv1,22RV1,NA,NA,NA,22RV1,22Rv1,22RV1,NA,22RV1,NA,22RV1,prostate,prostate,prostate,NA,NA,NA,prostate,prostate,urogenital_system ,NA,prostate,prostate,prostate,NA,prostate
23132-87,23132-87,23132/87,NA,NA,23132/87,NA,23132-87,23132_87,23132-87,NA,2313287,23132/87,23132-87,stomach,stomach,NA,NA,NA,NA,Stomach,stomach,digestive_system ,NA,stomach,stomach,stomach,Stomach,stomach
253J,NA,253J,NA,NA,NA,NA,NA,253J,NA,NA,253J,NA,NA,NA,urinary_tract,NA,NA,NA,NA,NA,urinary_tract,NA,NA,urinary_tract,urinary_tract,urinary_tract,NA,NA
253J-BV,NA,253J-BV,NA,NA,NA,NA,NA,253J-BV,NA,NA,253JBV,NA,NA,NA,urinary_tract,NA,NA,NA,NA,NA,urinary_tract,NA,NA,urinary_tract,urinary_tract,urinary_tract,NA,NA
42-MG-BA,NA,42-MG-BA,NA,NA,NA,NA,42-MG-BA,42-MG-BA,42-MG-BA,NA,42MGBA,NA,42-MG-BA,NA,central_nervous_system,NA,NA,NA,NA,Brain,central_nervous_system,NA,NA,central_nervous_system,central_nervous_system,central_nervous_system,NA,central_nervous_system
451Lu,NA,NA,NA,NA,NA,NA,451Lu,NA,451Lu,NA,NA,NA,451Lu,NA,NA,NA,NA,NA,NA,Skin,NA,NA,NA,skin,skin,NA,NA,skin
501A,NA,NA,NA,NA,501A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Skin,NA,NA,NA,NA,NA,NA,skin,NA,NA,NA
537 MEL,NA,NA,NA,NA,537 MEL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Skin,NA,NA,NA,NA,NA,NA,skin,NA,NA,NA
5637,5637,5637,5637,NA,NA,5637,5637,5637,NA,NA,5637,NA,5637,urinary_tract,urinary_tract,bladder,NA,NA,URINARY_TRACT,Bladder,urinary_tract,NA,NA,urinary_tract,urinary_tract,urinary_tract,NA,urinary_tract
59M,NA,59M,NA,NA,59M,NA,NA,59M,NA,NA,NA,NA,NA,NA,ovary,NA,NA,Ovary,NA,NA,ovary,NA,NA,NA,ovary,NA,NA,NA
600MPE,NA,NA,NA,600MPE,NA,NA,NA,NA,NA,600mpe,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,breast,breast,breast,NA,NA,NA
624 mel,NA,NA,NA,NA,624 mel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Skin,NA,NA,NA,NA,NA,NA,skin,NA,NA,NA
639-V,639-V,639-V,639V,NA,NA,NA,639-V,639-V,639-V,NA,639V,NA,639-V,urinary_tract,urinary_tract,bladder,NA,NA,NA,Bladder,urinary_tract,urogenital_system ,NA,urinary_tract,urinary_tract,urinary_tract,NA,urinary_tract
647-V,647-V,647-V,647V,NA,NA,NA,647-V,647-V,647-V,NA,647V,NA,647-V,urinary_tract,urinary_tract,bladder,NA,NA,NA,Bladder,urinary_tract,urogenital_system ,NA,urinary_tract,urinary_tract,urinary_tract,NA,urinary_tract
697,697,697,NA,NA,NA,NA,697,697,697,NA,697,NA,697,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,Blood,haematopoietic_and_lymphoid_tissue,blood ,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue
769-P,769-P,769-P,769P,NA,769-P,NA,769-P,769-P,769-P,NA,769P,769-P,769-P,kidney,kidney,kidney,NA,Kidney,NA,Kidney,kidney,kidney ,NA,kidney,kidney,kidney,Kidney,kidney
786-0,786-0,786-O,786O,NA,786-O,NA,786-o,786-O,NA,NA,786O,786-O,786-0,kidney,kidney,kidney,NA,Kidney,NA,Kidney,kidney,NA,NA,kidney,kidney,kidney,Kidney,kidney
8-MG-BA,8-MG-BA,8-MG-BA,NA,NA,NA,NA,8-MG-BA,8-MG-BA,8-MG-BA,NA,8MGBA,NA,8-MG-BA,central_nervous_system,central_nervous_system,NA,NA,NA,NA,CNS,central_nervous_system,nervous_system ,NA,central_nervous_system,central_nervous_system,central_nervous_system,NA,central_nervous_system
8305C,8305C,8305C,NA,NA,NA,NA,8305C,8305C,8305C,NA,8305C,8305C,8305C,thyroid,thyroid,NA,NA,NA,NA,Thyroid,thyroid,thyroid ,NA,thyroid,thyroid,thyroid,Thyroid,thyroid
8505C,8505C,8505C,NA,NA,NA,NA,8505C,8505C,8505C,NA,8505C,8505C,8505C,thyroid,thyroid,NA,NA,NA,NA,thyroid,thyroid,thyroid ,NA,thyroid,thyroid,thyroid,Thyroid,thyroid
888-mel,NA,NA,NA,NA,888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,skin,NA,NA,NA
928 mel,NA,NA,NA,NA,928 mel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Skin,NA,NA,NA,NA,NA,NA,skin,NA,NA,NA
A101D,A101D,A101D,A101D,NA,NA,NA,A101D,A101D,A101D,NA,A101D,NA,A101D,skin,skin,skin,NA,NA,NA,Skin,skin,skin ,NA,skin,skin,skin,NA,skin
A1207,NA,A1207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA
A172,A172,A172,A172,NA,A172,NA,A172,A172,A172,NA,A172,A172,A172,central_nervous_system,central_nervous_system,brain,NA,Brain,NA,Brain,central_nervous_system,nervous_system ,NA,central_nervous_system,central_nervous_system,central_nervous_system,Brain,central_nervous_system
A204,A204,A-204,A204,NA,NA,NA,A204,A-204,NA,NA,A204,NA,A204,soft_tissue,soft_tissue,muscle,NA,NA,NA,Muscle,soft_tissue,NA,NA,soft_tissue,soft_tissue,soft_tissue,NA,soft_tissue
A2058,A2058,A2058,NA,NA,A2058,NA,A2058,A2058,NA,NA,A2058,A2058,A2058,skin,skin,NA,NA,Skin,NA,Skin,skin,NA,NA,skin,skin,skin,Skin,skin
A253,A253,A-253,NA,NA,NA,NA,A253,A-253,A253,NA,A253,NA,A253,skin,salivary_gland,NA,NA,NA,NA,H&N,skin,aero_digestive_tract ,NA,skin,skin,salivary_gland,NA,skin
A2780,A2780,A2780,A2780,NA,A2780,A2780,A2780,A2780,A2780,NA,A2780,A2780,A2780,ovary,ovary,ovary,NA,Ovary,OVARY,Ovary,ovary,urogenital_system ,NA,ovary,ovary,ovary,Ovary,ovary
A3-KAW,A3-KAW,A3/KAW,NA,NA,A3/KAW,NA,A3-KAW,A3_KAW,NA,NA,A3KAW,NA,A3-KAW,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,Blood,NA,Blood,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue
A375,A375,A-375,A375,NA,A-375,A375,A375,A-375,A375,NA,A375,A-375,A375,skin,skin,skin,NA,Skin,SKIN,Skin,skin,skin ,NA,skin,skin,skin,Skin,skin
A388,A388,NA,NA,NA,NA,NA,A388,NA,NA,NA,NA,A388,A388,skin,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,skin,skin,NA,NA,skin
A4-Fuk,A4-Fuk,A4/Fuk,NA,NA,A4/Fuk,NA,A4-Fuk,A4_Fuk,A4-Fuk,NA,A4FUK,NA,A4-Fuk,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,Blood,NA,Skin,haematopoietic_and_lymphoid_tissue,blood ,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue
A427,A427,NA,A427,NA,A-427,NA,A427,NA,A427,NA,NA,NA,A427,lung,NA,lung,NA,Lung,NA,Lung:NSCLC,NA,lung ,NA,lung,lung,NA,NA,lung
A431,A431,NA,A431,NA,A-431,NA,A431,NA,NA,NA,NA,A-431,A431,skin,NA,skin,NA,Skin,NA,Skin,NA,NA,NA,skin,skin,NA,Skin,skin
A498,A498,A-498,A498,NA,A-498,NA,A498,A-498,A498,NA,A498,A-498,A498,kidney,kidney,kidney,NA,Kidney,NA,Kidney,kidney,kidney ,NA,kidney,kidney,kidney,Kidney,kidney
A549,A549,A549,A549,NA,A549,A549,A549,A549,A549,NA,A549,A549,A549,lung,lung,lung,NA,Lung,LUNG,Lung:NSCLC,lung,lung ,NA,lung,lung,lung,Lung,lung
A673,A673,A-673,A673,NA,A-673,NA,A673,A-673,A673,NA,A673,A-673,A673,bone,bone,muscle,NA,Skeletal Muscle,NA,Muscle,bone,soft_tissue ,NA,bone,bone,bone,Muscle,bone
A704,A704,A-704,NA,NA,NA,NA,A704,A-704,A704,NA,NA,NA,A704,kidney,kidney,NA,NA,NA,NA,Kidney,kidney,kidney ,NA,kidney,kidney,NA,NA,kidney
ABC-1,ABC-1,ABC-1,NA,NA,ABC-1,NA,ABC-1,ABC-1,ABC-1,NA,NA,ABC-1,ABC-1,lung,lung,NA,NA,Lung,NA,Lung:NSCLC,lung,lung ,NA,lung,lung,NA,Lung,lung
